Frequency (Hz), ch0 (dB), ch1 (dB)
0.00, -83.13, -82.16
7629.39, -83.13, -82.16
15258.79, -83.13, -82.16
22888.18, -81.87, -80.63
30517.58, -81.64, -83.52
38146.97, -80.81, -83.04
45776.37, -78.56, -78.51
53405.76, -79.18, -76.76
61035.16, -75.83, -75.79
68664.55, -75.70, -78.86
76293.95, -80.41, -83.11
83923.34, -82.33, -83.99
91552.73, -79.20, -80.96
99182.12, -80.71, -82.26
106811.52, -82.16, -85.05
114440.92, -83.07, -81.38
122070.31, -81.84, -80.57
129699.70, -85.16, -87.53
137329.09, -82.71, -86.56
144958.50, -86.12, -84.36
152587.89, -84.38, -85.23
160217.28, -84.11, -87.04
167846.69, -84.16, -87.20
175476.08, -85.63, -86.29
183105.47, -86.02, -87.71
190734.86, -88.79, -84.52
198364.25, -87.39, -85.36
205993.66, -90.41, -88.61
213623.05, -88.33, -90.83
221252.44, -89.49, -91.36
228881.84, -88.16, -88.39
236511.23, -89.53, -87.32
244140.62, -89.31, -88.47
251770.02, -89.46, -89.15
259399.41, -87.90, -90.63
267028.81, -90.18, -91.36
274658.19, -90.86, -90.38
282287.59, -89.68, -90.03
289917.00, -89.96, -91.40
297546.38, -90.69, -90.25
305175.78, -89.30, -89.73
312805.19, -88.57, -90.91
320434.56, -91.36, -88.90
328063.97, -91.36, -88.24
335693.38, -89.71, -89.07
343322.75, -91.66, -91.28
350952.16, -88.96, -90.87
358581.53, -91.11, -91.14
366210.94, -93.77, -93.53
373840.34, -91.27, -91.31
381469.72, -90.34, -90.82
389099.12, -90.67, -88.40
396728.50, -93.74, -93.36
404357.91, -87.54, -91.03
411987.31, -88.97, -90.63
419616.69, -91.49, -90.59
427246.09, -89.31, -90.69
434875.50, -89.81, -89.22
442504.88, -89.95, -92.16
450134.28, -89.93, -93.30
457763.69, -89.36, -89.81
465393.06, -89.16, -89.53
473022.47, -88.86, -88.48
480651.84, -89.73, -90.47
488281.25, -89.25, -91.81
495910.66, -91.64, -92.18
503540.03, -90.32, -91.68
511169.44, -89.06, -91.46
518798.81, -90.15, -93.25
526428.25, -92.00, -90.89
534057.62, -91.28, -88.93
541687.00, -90.06, -89.85
549316.38, -89.87, -94.91
556945.81, -92.10, -90.96
564575.19, -90.70, -92.44
572204.56, -90.33, -91.84
579834.00, -92.32, -93.10
587463.38, -92.64, -91.33
595092.75, -90.50, -89.44
602722.19, -91.36, -90.98
610351.56, -94.07, -90.40
617980.94, -91.35, -89.54
625610.38, -90.74, -88.49
633239.75, -92.59, -90.55
640869.12, -94.43, -89.47
648498.56, -93.63, -89.85
656127.94, -93.46, -89.19
663757.31, -91.76, -90.73
671386.75, -90.17, -92.75
679016.12, -90.46, -92.58
686645.50, -91.30, -94.29
694274.88, -94.29, -92.90
701904.31, -89.91, -89.76
709533.69, -90.79, -93.10
717163.06, -92.49, -91.34
724792.50, -91.37, -90.24
732421.88, -90.26, -89.60
740051.25, -90.00, -90.12
747680.69, -93.92, -90.06
755310.06, -93.29, -92.05
762939.44, -93.14, -91.04
770568.88, -91.16, -92.06
778198.25, -88.91, -91.56
785827.62, -87.55, -91.77
793457.00, -89.97, -89.00
801086.44, -90.07, -91.12
808715.81, -91.35, -93.21
816345.19, -90.25, -92.41
823974.62, -92.45, -90.97
831604.00, -94.09, -90.67
839233.38, -94.84, -91.09
846862.81, -90.13, -93.40
854492.19, -91.90, -95.29
862121.56, -88.22, -92.27
869751.00, -90.98, -92.93
877380.38, -92.35, -94.32
885009.75, -92.62, -93.44
892639.19, -90.06, -91.47
900268.56, -91.15, -92.19
907897.94, -88.74, -91.19
915527.38, -89.78, -91.09
923156.75, -91.18, -94.52
930786.12, -91.04, -97.47
938415.50, -91.73, -90.84
946044.94, -90.87, -89.89
953674.31, -90.48, -92.99
961303.69, -92.76, -95.11
968933.12, -93.66, -90.32
976562.50, -90.69, -91.21
984191.88, -91.17, -89.51
991821.31, -90.35, -92.07
999450.69, -95.71, -95.89
1007080.06, -92.62, -92.10
1014709.50, -92.21, -89.43
1022338.88, -90.24, -89.47
1029968.25, -91.11, -94.79
1037597.62, -91.61, -94.90
1045227.06, -92.56, -93.31
1052856.50, -91.95, -90.27
1060485.88, -91.35, -91.61
1068115.25, -92.78, -92.18
1075744.62, -91.95, -89.53
1083374.00, -91.88, -90.62
1091003.38, -95.43, -95.26
1098632.75, -89.98, -93.34
1106262.25, -91.06, -91.49
1113891.62, -91.42, -93.07
1121521.00, -90.21, -95.54
1129150.38, -92.91, -93.38
1136779.75, -95.73, -92.14
1144409.12, -92.34, -92.22
1152038.62, -91.87, -91.14
1159668.00, -94.15, -91.67
1167297.38, -92.28, -93.71
1174926.75, -89.92, -91.71
1182556.12, -89.20, -93.43
1190185.50, -91.68, -94.02
1197815.00, -93.34, -90.60
1205444.38, -94.92, -88.95
1213073.75, -88.90, -90.85
1220703.12, -91.73, -92.05
1228332.50, -90.38, -92.46
1235961.88, -90.64, -92.52
1243591.25, -92.26, -92.46
1251220.75, -94.08, -89.67
1258850.12, -90.65, -91.32
1266479.50, -91.79, -90.60
1274108.88, -93.16, -89.51
1281738.25, -92.05, -90.37
1289367.62, -90.82, -90.20
1296997.12, -90.90, -94.21
1304626.50, -95.10, -91.49
1312255.88, -91.61, -89.76
1319885.25, -91.93, -92.94
1327514.62, -93.15, -94.67
1335144.00, -92.45, -96.45
1342773.50, -92.93, -94.61
1350402.88, -92.26, -94.14
1358032.25, -91.18, -93.21
1365661.62, -90.04, -93.08
1373291.00, -93.92, -91.40
1380920.38, -94.86, -91.00
1388549.75, -91.77, -97.11
1396179.25, -91.24, -91.96
1403808.62, -92.07, -91.06
1411438.00, -93.83, -91.36
1419067.38, -91.98, -90.00
1426696.75, -89.93, -89.34
1434326.12, -91.76, -89.32
1441955.62, -90.74, -91.42
1449585.00, -88.81, -89.63
